ID,BERT_Precision,BERT_Recall,BERT_F1
1,0.8379591703414917,0.8577888607978821,0.8477579951286316
2,0.873969554901123,0.8149522542953491,0.8434297442436218
3,0.8607290983200073,0.864867627620697,0.8627933859825134
4,0.8577650189399719,0.7929266691207886,0.8240724205970764
5,0.8926458954811096,0.8602473735809326,0.8761472702026367
6,0.8784084916114807,0.8418242931365967,0.8597273826599121
7,0.8854566216468811,0.8529678583145142,0.8689085841178894
8,0.8574760556221008,0.8407441973686218,0.849027693271637
9,0.8756697177886963,0.8520764112472534,0.863711953163147
10,0.8772221207618713,0.8475334644317627,0.8621222972869873
11,0.8231686949729919,0.8635159730911255,0.8428597450256348
12,0.8751699328422546,0.8320953845977783,0.8530892729759216
13,0.873239278793335,0.8770930767059326,0.8751619458198547
14,0.8911805152893066,0.8791143298149109,0.8851063251495361
15,0.8475913405418396,0.8238927721977234,0.8355740308761597
16,0.8788483738899231,0.8342995047569275,0.8559947609901428
17,0.8589311838150024,0.8459407091140747,0.852386474609375
18,0.8650531768798828,0.8559266924858093,0.8604657053947449
19,0.8804882764816284,0.8777821063995361,0.8791331052780151
20,0.8586177825927734,0.8368949294090271,0.8476171493530273
21,0.8624382019042969,0.8176083564758301,0.8394251465797424
22,0.8978240489959717,0.8614222407341003,0.8792465329170227
23,0.9064860343933105,0.8927032351493835,0.8995417952537537
24,0.8826470971107483,0.8274372816085815,0.8541509509086609
25,0.8963553309440613,0.890749454498291,0.893543541431427
26,0.8751834034919739,0.8584204316139221,0.8667208552360535
27,0.8452126979827881,0.8449068069458008,0.8450597524642944
28,0.8040810823440552,0.8436028957366943,0.8233679533004761
29,0.8709045648574829,0.8757497668266296,0.873320460319519
30,0.921431839466095,0.8615065813064575,0.8904621601104736
31,0.8381255865097046,0.8180215358734131,0.8279514908790588
32,0.8819019794464111,0.8665862083435059,0.8741769790649414
33,0.8681443333625793,0.8842523097991943,0.8761243224143982
34,0.8716557621955872,0.879056453704834,0.8753405213356018
35,0.7616473436355591,0.8055229187011719,0.7829709053039551
36,0.8679820895195007,0.8634591102600098,0.8657146096229553
37,0.8616490364074707,0.8555276989936829,0.8585774898529053
38,0.8931145071983337,0.8594012260437012,0.8759335279464722
39,0.8590935468673706,0.8624598979949951,0.8607733845710754
40,0.9055521488189697,0.8663637638092041,0.885524570941925
41,0.8678281903266907,0.8576326966285706,0.862700343132019
42,0.8859695196151733,0.8883925080299377,0.8871793150901794
43,0.9342891573905945,0.8779794573783875,0.9052594900131226
44,0.8635354042053223,0.8529006242752075,0.8581850528717041
45,0.8633441925048828,0.8234982490539551,0.8429505825042725
46,0.9017481803894043,0.8786546587944031,0.8900516629219055
47,0.9022274613380432,0.8800994157791138,0.8910260200500488
48,0.9011600017547607,0.8818353414535522,0.8913929462432861
49,0.8929798603057861,0.8666951656341553,0.8796412348747253
50,0.8916847705841064,0.8508021235466003,0.8707638382911682
51,0.9058648347854614,0.885668158531189,0.8956526517868042
52,0.9188922047615051,0.9114742875099182,0.9151682257652283
53,0.9104192852973938,0.8933056592941284,0.9017812609672546
54,0.912119448184967,0.9035720825195312,0.9078256487846375
55,0.9029518961906433,0.8974152207374573,0.9001750349998474
56,0.8834508657455444,0.9035953283309937,0.8934095501899719
