id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#347-10,gpt,,,,,,,,,10.62,0,4451,63,4514
#347-10,deepseek,,,,,,,,,3.67,0,4067,124,4191
#347-10,final_consensus,,,,,,,,,14.29,0,8518,187,8705
#347-11,gpt,CD3+,,59.12,8.08,44,53.53,7.93,44,4.59,0,4834,111,4945
#347-11,deepseek,CD3+,,59.12,8.08,44,53.53,7.93,44,3.72,0,4451,154,4605
#347-11,final_consensus,CD3+,,59.12,8.08,44,53.53,7.93,44,8.31,0,9285,265,9550
#347-12,gpt,,,,,,,,,2.34,0,3706,50,3756
#347-12,deepseek,,,,,,,,,2.26,0,3359,153,3512
#347-12,final_consensus,,,,,,,,,4.6,0,7065,203,7268
#347-13,gpt,,,,,,,,,2.95,0,3978,50,4028
#347-13,deepseek,,,,,,,,,2.53,0,3601,102,3703
#347-13,final_consensus,,,,,,,,,5.48,0,7579,152,7731
#347-14,gpt,,,,,,,,,2.09,0,2485,52,2537
#347-14,deepseek,,,,,,,,,1.64,0,2242,71,2313
#347-14,final_consensus,,,,,,,,,3.7299999999999995,0,4727,123,4850
#347-15,gpt,CD3+,,64.02,4.58,35,52.58,5.69,30,2.8,0,4208,101,4309
#347-15,deepseek,CD3+,,64.02,4.58,35,52.58,5.69,30,3.4,0,3883,152,4035
#347-15,final_consensus,CD3+,,64.02,4.58,35,52.58,5.69,30,6.199999999999999,0,8091,253,8344
#347-16,gpt,CD3+,,54.58,9.56,60,49.74,9.04,60,3.12,0,7777,126,7903
#347-16,deepseek,CD3+,,54.58,9.56,60,49.74,9.04,60,4.4,0,7111,272,7383
#347-16,final_consensus,CD3+,,54.58,9.56,60,49.74,9.04,60,7.5200000000000005,0,14888,398,15286
#347-17,gpt,CD3+,,60.13,10.32,99,52.07,10.13,101,2.79,0,5595,104,5699
#347-17,deepseek,CD3+,,60.13,10.32,99,52.07,10.13,101,2.78,0,5077,140,5217
#347-17,final_consensus,CD3+,,60.13,10.32,99,52.07,10.13,101,5.57,0,10672,244,10916
#347-18,gpt,CD3+,,65.9,12.6,70,53.3,10.2,67,2.72,0,4093,104,4197
#347-18,deepseek,CD3+,,65.9,12.6,70,53.3,10.2,67,4.25,0,3773,252,4025
#347-18,final_consensus,CD3+,,65.9,12.6,70,53.3,10.2,67,6.970000000000001,0,7866,356,8222
#347-19,gpt,,,,,,,,,3.07,0,4726,71,4797
#347-19,deepseek,,,,,,,,,2.45,0,4257,87,4344
#347-19,final_consensus,,,,,,,,,5.52,0,8983,158,9141
#347-20,gpt,,,,,,,,,2.42,0,2959,65,3024
#347-20,deepseek,,,,,,,,,4.17,0,2736,173,2909
#347-20,final_consensus,,,,,,,,,6.59,0,5695,238,5933
#347-21,gpt,,,,,,,,,2.24,0,4060,62,4122
#347-21,deepseek,,,,,,,,,2.0,0,3630,77,3707
#347-21,final_consensus,,,,,,,,,4.24,0,7690,139,7829
#347-22,gpt,CD3+,,60.10,10.43,34,50.60,10.21,35,4.52,0,4630,132,4762
#347-22,deepseek,CD3+,,60.10,10.43,34,50.60,10.21,35,6.68,0,4283,385,4668
#347-22,final_consensus,CD3+,,60.10,10.43,34,50.60,10.21,35,11.2,0,8913,517,9430
#347-23,gpt,,,,,,,,,8.46,0,3369,50,3419
#347-23,deepseek,,,,,,,,,3.52,0,3097,115,3212
#347-23,final_consensus,,,,,,,,,11.98,0,6466,165,6631
#347-24,gpt,CD3+,,0.53,0.04,42,0.48,0.04,40,3.68,0,4730,124,4854
#347-24,deepseek,CD3+,,0.53,0.04,42,0.48,0.04,40,9.89,0,4296,597,4893
#347-24,final_consensus,CD3+,,0.53,0.04,42,0.48,0.04,40,13.57,0,9026,721,9747
#347-25,gpt,,,,,,,,,8.98,0,2402,62,2464
#347-25,deepseek,,,,,,,,,2.95,0,2163,100,2263
#347-25,final_consensus,,,,,,,,,11.93,0,4565,162,4727
#347-26,gpt,,,,,,,,,2.76,0,4174,51,4225
#347-26,deepseek,,,,,,,,,3.29,0,3857,107,3964
#347-26,final_consensus,,,,,,,,,6.05,0,8031,158,8189
#347-27,gpt,CD3+,,60.11,10.44,34,50.59,10.20,34,2.86,0,5266,123,5389
#347-27,deepseek,CD3+,,60.11,10.44,34,50.59,10.20,34,3.18,0,4883,158,5041
#347-27,final_consensus,CD3+,,60.11,10.44,34,50.59,10.20,34,6.04,0,10149,281,10430
#347-28,gpt,,,,,,,,,2.03,0,5075,64,5139
#347-28,deepseek,,,,,,,,,3.07,0,4463,149,4612
#347-28,final_consensus,,,,,,,,,5.1,0,9538,213,9751
