id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#169-15,gpt,CD4+/CD8+ T-cell ratio after intervention,"The article reports T lymphocyte subsets including CD3, CD4, CD8, and CD4/CD8, which strictly matches the requested CD4+/CD8+ T-cell ratio outcome. The relevant data are in Table 3, comparing values before and after treatment. The intervention arm is the Kanglaite combined with GP chemotherapy group, with n=34. The control arm is the GP chemotherapy group, with n=35. After treatment, the CD4/CD8 ratio was 2.61 ± 0.42 in the intervention group and 1.61 ± 0.49 in the control group.",2.61,0.42,34,1.61,0.49,35,18.96,0.0,4156,436,4592
#169-15,deepseek,CD4+/CD8+ T-cell ratio,"The article reports T lymphocyte subsets including CD4/CD8 ratio in Table 3. The outcome 'CD4/CD8' matches the requested CD4+/CD8+ T-cell ratio. After treatment, combination treatment group (intervention) mean=2.61, SD=0.42, n=34; GP chemotherapy group (control) mean=1.61, SD=0.49, n=35. All numbers are directly extracted.",2.61,0.42,34,1.61,0.49,35,6.97,0.0,3871,477,4348
#169-15,final_consensus,CD4+/CD8+ T-cell ratio after intervention,"The article reports T lymphocyte subsets including CD3, CD4, CD8, and CD4/CD8, which strictly matches the requested CD4+/CD8+ T-cell ratio outcome. The relevant data are in Table 3, comparing values before and after treatment. The intervention arm is the Kanglaite combined with GP chemotherapy group, with n=34. The control arm is the GP chemotherapy group, with n=35. After treatment, the CD4/CD8 ratio was 2.61 ± 0.42 in the intervention group and 1.61 ± 0.49 in the control group.",2.61,0.42,34,1.61,0.49,35,25.93,0.0,8027,913,8940
#169-16,gpt,CD4+/CD8+ T-cell ratio,"The article reports immune function outcomes including CD3+, CD4+, CD4+/CD8+, and NK cell activity; CD4+/CD8+ strictly matches the requested outcome. Table 7 reports this outcome before and after treatment for both groups. The analyzed sample sizes are treatment/intervention group n=40 and control group n=39. For the post-intervention CD4+/CD8+ ratio, the treatment group value is 1.15±0.21 and the control group value is 0.87±0.10.",1.15,0.21,40,0.87,0.10,39,12.32,0.0,11107,371,11478
#169-16,deepseek,CD4+/CD8+ T-cell ratio,,1.15,0.21,40,0.87,0.1,39,4.47,0.0,10053,237,10290
#169-16,final_human_override,CD4+/CD8+ T-cell ratio,"The article reports immune function outcomes including CD3+, CD4+, CD4+/CD8+, and NK cell activity; CD4+/CD8+ strictly matches the requested outcome. Table 7 reports this outcome before and after treatment for both groups. The analyzed sample sizes are treatment/intervention group n=40 and control group n=39. For the post-intervention CD4+/CD8+ ratio, the treatment group value is 1.15±0.21 and the control group value is 0.87±0.10.",1.15,0.21,40,0.87,0.10,39,16.79,38.89,21160,608,21768
#169-17,gpt,,"The article reports clinical efficacy, quality of life/KPS improvement, and adverse reactions for Kanglaite injection plus chemotherapy versus chemotherapy. I checked the outcomes and tables, and no CD4+/CD8+ T-cell ratio outcome is reported after intervention. The available immune-related or hematologic adverse indicators such as hemoglobin reduction, granulocyte reduction, and platelet reduction do not match the requested CD4+/CD8+ T-cell ratio. Therefore, no mean, SD, or outcome-specific sample size can be extracted.",,,,,,,12.34,0.0,3038,431,3469
#169-17,deepseek,,"The article reports on Kanglaite injection combined with chemotherapy for advanced NSCLC. It evaluates clinical efficacy, survival quality, and adverse reactions but does not measure CD4+/CD8+ T-cell ratio or any immunological markers. Therefore, no matching outcome is found.",,,,,,,3.48,0.0,2698,170,2868
#169-17,final_consensus,,"The article reports clinical efficacy, quality of life/KPS improvement, and adverse reactions for Kanglaite injection plus chemotherapy versus chemotherapy. I checked the outcomes and tables, and no CD4+/CD8+ T-cell ratio outcome is reported after intervention. The available immune-related or hematologic adverse indicators such as hemoglobin reduction, granulocyte reduction, and platelet reduction do not match the requested CD4+/CD8+ T-cell ratio. Therefore, no mean, SD, or outcome-specific sample size can be extracted.",,,,,,,15.82,0.0,5736,601,6337
#169-18,gpt,CD4+/CD8+ T-cell ratio,"The article reports immune function indicators including IgA, IgG, IgM, NK cells, CD3+, CD4+, and CD4+/CD8+; the CD4+/CD8+ T-cell ratio strictly matches the requested outcome. Table 4 provides post-intervention immune function indicators for the control group and observation/intervention group. The intervention arm is the observation group receiving Kanglaite injection plus NP chemotherapy, with n=53. The control arm received NP chemotherapy alone, with n=47. For CD4+/CD8+, the observation group mean ± SD is 1.77 ± 0.26, and the control group mean ± SD is 1.39 ± 0.22.",1.77,0.26,53,1.39,0.22,47,4.96,0.0,4909,361,5270
