id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#18-10,gpt,CD4+ level after treatment (%),"The article reports immune function outcomes including CD3+, CD4+, and CD8+ levels, and CD4+ level strictly matches the requested outcome. The relevant post-intervention values are in Table 3, which reports immune function as mean ± SD (%), before and after treatment. The randomized groups were research/intervention group and control group, each with 50 patients. For CD4+ after treatment, the intervention group mean was 39.33 with SD 3.57, and the control group mean was 35.12 with SD 3.02.",39.33,3.57,50,35.12,3.02,50,5.71,0.0,3162,299,3461
#18-10,deepseek,CD4+ level,"The article reports CD3+, CD4+, CD8+ as part of immune function. The outcome CD4+ level is explicitly reported in Table 3. For the research (intervention) group, post-treatment CD4+ is 39.33 ± 3.57 with n=50. For the control group, post-treatment CD4+ is 35.12 ± 3.02 with n=50. These values match the required definition.",39.33,3.57,50,35.12,3.02,50,9.16,0.0,2821,482,3303
#18-10,final_consensus,CD4+ level after treatment (%),"The article reports immune function outcomes including CD3+, CD4+, and CD8+ levels, and CD4+ level strictly matches the requested outcome. The relevant post-intervention values are in Table 3, which reports immune function as mean ± SD (%), before and after treatment. The randomized groups were research/intervention group and control group, each with 50 patients. For CD4+ after treatment, the intervention group mean was 39.33 with SD 3.57, and the control group mean was 35.12 with SD 3.02.",39.33,3.57,50,35.12,3.02,50,14.870000000000001,0.0,5983,781,6764
#18-11,gpt,CD4+/%,"The article reports immune outcomes including immunoglobulins (IgA, IgG, IgM) and T-cell subsets CD3+, CD4+, CD8+, and CD4+/CD8+; CD4+ level strictly matches the requested outcome. Table 2 provides T lymphocyte subset levels before and after treatment, with the post-intervention CD4+ percentage reported for both arms. The intervention arm is the observation group receiving Kanglaite injection plus GP, with n=43. The control arm received GP alone, with n=42. Post-treatment CD4+ values are 39.15 ± 4.97 for the intervention group and 34.27 ± 5.01 for the control group.",39.15,4.97,43,34.27,5.01,42,6.97,0.0,4903,325,5228
#18-11,deepseek,CD4+ percentage,,39.15,4.97,43,34.27,5.01,42,12.11,0.0,4485,568,5053
#18-11,final_consensus,CD4+/%,"The article reports immune outcomes including immunoglobulins (IgA, IgG, IgM) and T-cell subsets CD3+, CD4+, CD8+, and CD4+/CD8+; CD4+ level strictly matches the requested outcome. Table 2 provides T lymphocyte subset levels before and after treatment, with the post-intervention CD4+ percentage reported for both arms. The intervention arm is the observation group receiving Kanglaite injection plus GP, with n=43. The control arm received GP alone, with n=42. Post-treatment CD4+ values are 39.15 ± 4.97 for the intervention group and 34.27 ± 5.01 for the control group.",39.15,4.97,43,34.27,5.01,42,19.08,0.0,9388,893,10281
#18-12,gpt,CD4+ level,"The article reports T lymphocyte subset outcomes including CD3, CD4, CD8, and CD4/CD8; CD4 matches the requested CD4+ level outcome. The randomized groups were treatment/intervention group (chemotherapy plus Kanglaite) with 36 patients and control group (chemotherapy alone) with 36 patients. In Table 1, the post-treatment (疗后) CD4 value for the treatment group is 36.7±2.52. The post-treatment CD4 value for the control group is 25.6±2.15. Therefore, the matched post-intervention CD4+ level data are extracted for both arms.",36.7,2.52,36,25.6,2.15,36,6.32,0.0,2325,330,2655
#18-12,deepseek,CD4+ level (%),The article reports T lymphocyte subsets including CD4 (as percentage). The outcome CD4+ level is given in Table 1. The intervention group (chemotherapy + Kanglaite) has post-treatment mean = 36.7 and SD = 2.52 with n = 36. The control group (chemotherapy alone) has post-treatment mean = 25.6 and SD = 2.15 with n = 36.,36.7,2.52,36,25.6,2.15,36,9.93,0.0,2171,413,2584
#18-12,final_consensus,CD4+ level,"The article reports T lymphocyte subset outcomes including CD3, CD4, CD8, and CD4/CD8; CD4 matches the requested CD4+ level outcome. The randomized groups were treatment/intervention group (chemotherapy plus Kanglaite) with 36 patients and control group (chemotherapy alone) with 36 patients. In Table 1, the post-treatment (疗后) CD4 value for the treatment group is 36.7±2.52. The post-treatment CD4 value for the control group is 25.6±2.15. Therefore, the matched post-intervention CD4+ level data are extracted for both arms.",36.7,2.52,36,25.6,2.15,36,16.25,0.0,4496,743,5239
#18-13,gpt,CD4+ level,"The article reports immune indicators including CD3, CD4, CD8, CD4/CD8, and NK cell activity; CD4 matches the requested CD4+ level outcome. The relevant data are in Table 2, which compares immune indicators before and after treatment. The treatment/intervention arm is Kanglaite injection plus TP chemotherapy with n=38, and the control arm is TP chemotherapy alone with n=40. After intervention, the CD4 mean ± SD is 0.27 ± 0.10 in the treatment group and 0.16 ± 0.08 in the control group.",0.27,0.10,38,0.16,0.08,40,6.04,0.0,3357,373,3730
